交易额,商户名称,交易日期,交易时间,星期,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳
31.6,美食林海南鸡饭,2022/8/29,11:07,1,0,18,748.2,760.5,73,3,1,1661742420
17,民族二餐厅五谷鲜渔粉副食二组,2022/8/26,18:09,5,0,16,740,752.3,68,5,0,1661508540
60,美食林阿咪酱骨扒肉,2022/8/26,11:16,5,0,20,740.2,752.3,53,7,0,1661483760
12.96,阳光副食二组,2022/8/25,17:14,4,0,21,738.8,750.8,53,5,0,1661418840
20,民族餐厅山西饸饹面,2022/8/24,17:19,3,0,24,741.9,753.9,57,5,0,1661332740
11.86,阳光副食二组,2022/8/24,11:59,3,0,26,744.3,756.2,48,6,0,1661313540
7,阳光主食一组,2022/8/24,11:53,3,0,26,744.3,756.2,48,6,0,1661313180
48,美食林阿咪酱骨扒肉,2022/8/23,11:09,2,0,21,744.1,756.2,60,6,0,1661224140
7,阳光主食一组,2022/8/22,17:19,1,0,16,738.6,750.8,83,6,0,1661159940
16,民族餐厅山西饸饹面,2022/8/22,11:21,1,0,18,733.4,745.5,94,7,1,1661138460
15,美食林川蜀源烤鱼,2022/8/21,18:08,7,1,21,738.8,750.8,83,4,0,1661076480
10,民族餐厅山西饸饹面,2022/8/21,11:03,7,1,21,739.6,751.6,78,3,1,1661050980
