当地时间 哈尔滨太平(机场）,气温,气象站大气压,海平面大气压,相对湿度,风向,平均风速,最大阵风,特殊天象,重要天象,总云量,能见度,露点温度,时间,日期
06.04.2023 23:00,1,739.4,752.3,51,从西南方吹来的风,4,,烟,,无明显的云,4,-8,23:00,06.04.2023
06.04.2023 22:00,4,740.3,753.1,39,从西南偏南方向吹来的风,2,,烟,,无明显的云,5,-9,22:00,06.04.2023
06.04.2023 21:00,4,740.3,753.1,39,从南方吹来的风,2,,,,无明显的云,10.0 大于等于,-9,21:00,06.04.2023
06.04.2023 20:00,5,741.1,753.9,39,从南方吹来的风,2,,,,少云 (10-30%) 1380 米,10.0 大于等于,-8,20:00,06.04.2023
06.04.2023 19:00,6,740.4,753.1,36,从西南方吹来的风,3,,,,少云 (10-30%) 1380 米,10.0 大于等于,-8,19:00,06.04.2023
06.04.2023 18:00,9,740.5,753.1,27,从西南偏西方向吹来的风,3,,,,少云 (10-30%) 1380 米,8,-9,18:00,06.04.2023
06.04.2023 17:00,10,740.6,753.1,22,从西方吹来的风,2,,,,无明显的云,10.0 大于等于,-11,17:00,06.04.2023
06.04.2023 16:00,10,741.4,753.9,22,从西方吹来的风,4,,,,无明显的云,10.0 大于等于,-11,16:00,06.04.2023
06.04.2023 15:00,10,741.4,753.9,24,从西方吹来的风,4,,,,无明显的云,10.0 大于等于,-10,15:00,06.04.2023
06.04.2023 14:00,10,741.4,753.9,24,从西南偏西方向吹来的风,6,,,,无明显的云,8,-10,14:00,06.04.2023
06.04.2023 13:00,10,741.4,753.9,22,从西方吹来的风,5,,,,无明显的云,8,-11,13:00,06.04.2023
06.04.2023 12:00,11,742.1,754.6,22,从西北偏西方向吹来的风,2,,,,无明显的云,8,-10,12:00,06.04.2023
06.04.2023 11:00,10,742.1,754.6,22,风向多变,2,,,,无明显的云,10.0 大于等于,-11,11:00,06.04.2023
06.04.2023 10:00,10,742.8,755.4,22,从东北偏北方向吹来的风,2,,,,无明显的云,8,-11,10:00,06.04.2023
06.04.2023 09:00,8,742.7,755.4,29,从西北偏西方向吹来的风,2,,,,无明显的云,6,-9,9:00,06.04.2023
06.04.2023 08:00,7,743.5,756.2,37,风向多变,1,,,,无明显的云,6,-7,8:00,06.04.2023
06.04.2023 07:00,3,744,756.9,52,风向多变,1,,,,无明显的云,7,-6,7:00,06.04.2023
06.04.2023 06:00,0,743.9,756.9,60,风向多变,1,,,,无明显的云,7,-7,6:00,06.04.2023
06.04.2023 05:00,1,743.9,756.9,51,从西方吹来的风,2,,,,无明显的云,7,-8,5:00,06.04.2023
06.04.2023 04:00,1,743.9,756.9,51,从东北方吹来的风,2,,,,无明显的云,10.0 大于等于,-8,4:00,06.04.2023
06.04.2023 03:00,1,744.7,757.7,51,风向多变,1,,,,无明显的云,10.0 大于等于,-8,3:00,06.04.2023
06.04.2023 02:00,2,744.7,757.7,48,从北方吹来的风,1,,,,无明显的云,10.0 大于等于,-8,2:00,06.04.2023
06.04.2023 01:00,3,745.3,758.2,41,从西北偏北方向吹来的风,2,,,,无明显的云,8,-9,1:00,06.04.2023
06.04.2023 00:00,2,745.2,758.2,48,从东北偏北方向吹来的风,2,,,,无明显的云,8,-8,0:00,06.04.2023
05.04.2023 23:00,3,746.1,759,41,从东北偏东方向吹来的风,1,,,,无明显的云,8,-9,23:00,05.04.2023
05.04.2023 22:00,3,746.1,759,41,从东北偏北方向吹来的风,1,,,,无明显的云,6,-9,22:00,05.04.2023
05.04.2023 21:00,4,746.8,759.7,39,从东北偏北方向吹来的风,3,,烟,,无明显的云,5,-9,21:00,05.04.2023
05.04.2023 20:00,3,746.7,759.7,41,从东北偏北方向吹来的风,3,,烟,,无明显的云,4,-9,20:00,05.04.2023
05.04.2023 19:00,7,746.9,759.7,34,从北方吹来的风,2,,烟,,无明显的云,3.5,-8,19:00,05.04.2023
05.04.2023 18:00,9,747,759.7,27,从北方吹来的风,2,,烟,,无明显的云,5,-9,18:00,05.04.2023
05.04.2023 17:00,10,747.1,759.7,20,从北方吹来的风,2,,烟,,无明显的云,5,-12,17:00,05.04.2023
05.04.2023 16:00,10,747.1,759.7,20,从东北偏北方向吹来的风,2,,烟,,无明显的云,5,-12,16:00,05.04.2023
05.04.2023 15:00,11,747.9,760.5,20,从西北偏北方向吹来的风,4,,烟,,无明显的云,5,-11,15:00,05.04.2023
05.04.2023 14:00,10,748.5,761.2,19,风向多变,2,,,,无明显的云,8,-13,14:00,05.04.2023
05.04.2023 13:00,11,749.4,762,22,风向多变,2,,,,无明显的云,7,-10,13:00,05.04.2023
05.04.2023 12:00,10,750.1,762.8,24,风向多变,1,,,,无明显的云,6,-10,12:00,05.04.2023
05.04.2023 11:00,9,750.8,763.5,27,从北方吹来的风,2,,烟,,无明显的云,5,-9,11:00,05.04.2023
05.04.2023 10:00,8,751.5,764.3,32,从西北方吹来的风,2,,烟,,无明显的云,4,-8,10:00,05.04.2023
05.04.2023 09:00,7,751.5,764.3,31,风向多变,1,,烟,,无明显的云,3,-9,9:00,05.04.2023
05.04.2023 08:00,4,752,765,39,风向多变,1,,烟,,无明显的云,1.6,-9,8:00,05.04.2023
05.04.2023 07:00,2,751.9,765,44,无风,0,,烟,,无明显的云,1.4,-9,7:00,05.04.2023
05.04.2023 06:00,-2,751.7,765,59,风向多变,1,,烟,,无明显的云,2,-9,6:00,05.04.2023
05.04.2023 05:00,-3,751.7,765,59,无风,0,,烟,,无明显的云,4,-10,5:00,05.04.2023
05.04.2023 04:00,-4,751.6,765,63,无风,0,,,,无明显的云,6,-10,4:00,05.04.2023
05.04.2023 03:00,-3,752.5,765.8,59,无风,0,,,,无明显的云,7,-10,3:00,05.04.2023
05.04.2023 02:00,-1,752.6,765.8,51,风向多变,1,,,,无明显的云,7,-10,2:00,05.04.2023
05.04.2023 01:00,0,753.4,766.6,47,风向多变,1,,,,无明显的云,6,-10,1:00,05.04.2023
05.04.2023 00:00,0,753.4,766.6,51,从南方吹来的风,1,,,,无明显的云,6,-9,0:00,05.04.2023
04.04.2023 23:00,1,753.4,766.6,44,风向多变,1,,,,无明显的云,6,-10,23:00,04.04.2023
04.04.2023 22:00,0,753.4,766.6,51,从南方吹来的风,1,,,,无明显的云,6,-9,22:00,04.04.2023
04.04.2023 21:00,0,754.1,767.3,47,从东南方吹来的风,1,,烟,,无明显的云,5,-10,21:00,04.04.2023
04.04.2023 20:00,5,754.3,767.3,31,风向多变,1,,,,无明显的云,6,-11,20:00,04.04.2023
04.04.2023 19:00,5,754.3,767.3,28,从西北偏西方向吹来的风,2,,,,无明显的云,8,-12,19:00,04.04.2023
04.04.2023 18:00,7,754.4,767.3,23,从西方吹来的风,3,,,,无明显的云,10.0 大于等于,-13,18:00,04.04.2023
04.04.2023 17:00,8,754.5,767.3,21,从西方吹来的风,4,,,,无明显的云,10.0 大于等于,-13,17:00,04.04.2023
04.04.2023 16:00,8,754.5,767.3,21,从西方吹来的风,3,,,,无明显的云,10.0 大于等于,-13,16:00,04.04.2023
04.04.2023 15:00,8,755.2,768.1,21,风向多变,3,,,,无明显的云,10.0 大于等于,-13,15:00,04.04.2023
04.04.2023 14:00,8,756,768.9,21,从西方吹来的风,3,,,,无明显的云,10.0 大于等于,-13,14:00,04.04.2023
04.04.2023 13:00,7,756.7,769.6,21,风向多变,3,,,,无明显的云,10.0 大于等于,-14,13:00,04.04.2023
04.04.2023 12:00,7,757.5,770.4,19,风向多变,2,,,,无明显的云,10.0 大于等于,-15,12:00,04.04.2023
04.04.2023 11:00,5,758,771.1,24,从北方吹来的风,4,,,,无明显的云,10.0 大于等于,-14,11:00,04.04.2023
04.04.2023 10:00,4,758.8,771.9,22,从北方吹来的风,4,,,,无明显的云,10.0 大于等于,-16,10:00,04.04.2023
04.04.2023 09:00,4,759.6,772.7,28,从北方吹来的风,5,,,,无明显的云,10.0 大于等于,-13,9:00,04.04.2023
04.04.2023 08:00,3,759.5,772.7,33,从北方吹来的风,4,,,,无明显的云,10.0 大于等于,-12,8:00,04.04.2023
04.04.2023 07:00,2,758.7,771.9,35,从北方吹来的风,5,,,,无明显的云,10.0 大于等于,-12,7:00,04.04.2023
04.04.2023 06:00,1,758.6,771.9,41,从北方吹来的风,3,,,,无明显的云,10.0 大于等于,-11,6:00,04.04.2023
04.04.2023 05:00,2,757.9,771.1,35,从北方吹来的风,5,,,,无明显的云,10.0 大于等于,-12,5:00,04.04.2023
04.04.2023 04:00,3,757.3,770.4,38,从北方吹来的风,4,,,,无明显的云,10.0 大于等于,-10,4:00,04.04.2023
04.04.2023 03:00,3,757.3,770.4,45,从北方吹来的风,4,,,,无明显的云,10.0 大于等于,-8,3:00,04.04.2023
04.04.2023 02:00,4,756.5,769.6,45,从北方吹来的风,5,,,,无明显的云,10.0 大于等于,-7,2:00,04.04.2023
04.04.2023 01:00,5,756.6,769.6,57,从西北方吹来的风,3,,烟,,无明显的云,3,-3,1:00,04.04.2023
04.04.2023 00:00,6,756.6,769.6,57,从西方吹来的风,3,,烟,,无明显的云,4,-2,0:00,04.04.2023
03.04.2023 23:00,4,756.5,769.6,70,从西南偏南方向吹来的风,2,,,,无明显的云,6,-1,23:00,03.04.2023
03.04.2023 22:00,4,756.5,769.6,70,从西南偏南方向吹来的风,2,,,,无明显的云,8,-1,22:00,03.04.2023
03.04.2023 21:00,5,755.9,768.9,66,风向多变,1,,,,无明显的云,8,-1,21:00,03.04.2023
03.04.2023 20:00,7,756,768.9,57,从西方吹来的风,3,,,,无明显的云,8,-1,20:00,03.04.2023
03.04.2023 19:00,7,756,768.9,57,从西方吹来的风,2,,,,无明显的云,10.0 大于等于,-1,19:00,03.04.2023
03.04.2023 18:00,8,755.2,768.1,57,从西方吹来的风,3,,,,无明显的云,10.0 大于等于,0,18:00,03.04.2023
03.04.2023 17:00,8,754.5,767.3,57,从西北偏西方向吹来的风,5,,,,无明显的云,10.0 大于等于,0,17:00,03.04.2023
03.04.2023 16:00,8,754.5,767.3,66,从西北方吹来的风,5,,,,疏云 (40-50%) 990 米,10.0 大于等于,2,16:00,03.04.2023
03.04.2023 15:00,9,753.8,766.6,71,从西北偏西方向吹来的风,6,,,,疏云 (40-50%) 780 米,10.0 大于等于,4,15:00,03.04.2023
03.04.2023 14:00,9,753,765.8,76,从西北偏西方向吹来的风,7,,,,疏云 (40-50%) 780 米,10.0 大于等于,5,14:00,03.04.2023
03.04.2023 13:00,11,753.1,765.8,82,从西方吹来的风,7,,,,多云 (60-90%) 990 米,8,8,13:00,03.04.2023
03.04.2023 12:00,15,751.8,764.3,59,从西方吹来的风,7,,,,无明显的云,8,7,12:00,03.04.2023
03.04.2023 11:00,16,751.9,764.3,42,从西南偏西方向吹来的风,10,,,,无明显的云,8,3,11:00,03.04.2023
03.04.2023 10:00,17,751.1,763.5,37,从西南方吹来的风,10,,,,无明显的云,6,2,10:00,03.04.2023
03.04.2023 09:00,15,751,763.5,34,从西南偏南方向吹来的风,9,,烟,,无明显的云,5,-1,9:00,03.04.2023
03.04.2023 08:00,14,751,763.5,36,从西南偏南方向吹来的风,5,,烟,,无明显的云,5,-1,8:00,03.04.2023
03.04.2023 07:00,13,750.9,763.5,36,从西南偏南方向吹来的风,6,,烟,,无明显的云,5,-2,7:00,03.04.2023
03.04.2023 06:00,12,750.2,762.8,38,从南方吹来的风,5,,烟,,无明显的云,5,-2,6:00,03.04.2023
03.04.2023 05:00,12,749.4,762,38,从南方吹来的风,6,,烟,,无明显的云,5,-2,5:00,03.04.2023
03.04.2023 04:00,12,750.2,762.8,41,从南方吹来的风,6,,烟,,无明显的云,5,-1,4:00,03.04.2023
03.04.2023 03:00,13,749.5,762,38,从南方吹来的风,6,,,,无明显的云,7,-1,3:00,03.04.2023
03.04.2023 02:00,12,750.2,762.8,41,从南方吹来的风,4,,,,无明显的云,7,-1,2:00,03.04.2023
03.04.2023 01:00,13,749.5,762,41,从南方吹来的风,4,,,,无明显的云,7,0,1:00,03.04.2023
03.04.2023 00:00,13,750.2,762.8,41,从南方吹来的风,4,,烟,,无明显的云,5,0,0:00,03.04.2023
02.04.2023 23:00,13,750.2,762.8,41,从南方吹来的风,4,,烟,,无明显的云,5,0,23:00,02.04.2023
02.04.2023 22:00,14,749.5,762,39,从南方吹来的风,3,,烟,,无明显的云,5,0,22:00,02.04.2023
02.04.2023 21:00,14,749.5,762,41,从南方吹来的风,3,,烟,,无明显的云,5,1,21:00,02.04.2023
02.04.2023 20:00,15,749.5,762,39,从南方吹来的风,3,,烟,,无明显的云,5,1,20:00,02.04.2023
02.04.2023 19:00,15,749.5,762,39,从南方吹来的风,2,,,,无明显的云,7,1,19:00,02.04.2023
02.04.2023 18:00,18,748.9,761.2,34,从西南偏南方向吹来的风,3,,,,无明显的云,7,2,18:00,02.04.2023
02.04.2023 17:00,20,749,761.2,30,从西南偏南方向吹来的风,6,,,,无明显的云,7,2,17:00,02.04.2023
02.04.2023 16:00,21,748.3,760.5,31,从西南偏南方向吹来的风,5,,,,无明显的云,7,3,16:00,02.04.2023
02.04.2023 15:00,22,748.4,760.5,27,从西南方吹来的风,8,,,,无明显的云,7,2,15:00,02.04.2023
02.04.2023 14:00,22,749.1,761.2,27,从西南偏南方向吹来的风,8,13,,,无明显的云,7,2,14:00,02.04.2023
02.04.2023 13:00,23,749.1,761.2,23,从西南方吹来的风,10,,,,无明显的云,7,1,13:00,02.04.2023
02.04.2023 12:00,22,749.8,762,23,从西南方吹来的风,9,14,,,无明显的云,6,0,12:00,02.04.2023
02.04.2023 11:00,21,749.8,762,29,从西南偏南方向吹来的风,7,,烟,,无明显的云,4,2,11:00,02.04.2023
02.04.2023 10:00,19,750.5,762.8,32,从西南方吹来的风,10,,烟,,无明显的云,4,2,10:00,02.04.2023
02.04.2023 09:00,17,750.4,762.8,34,从西南偏南方向吹来的风,7,,烟,,无明显的云,4,1,9:00,02.04.2023
02.04.2023 08:00,14,749.5,762,36,从西南偏南方向吹来的风,7,,烟,,无明显的云,3,-1,8:00,02.04.2023
02.04.2023 07:00,11,749.4,762,41,从南方吹来的风,4,,烟,,无明显的云,3,-2,7:00,02.04.2023
02.04.2023 06:00,9,749.3,762,46,从南方吹来的风,5,,烟,,无明显的云,2.8,-2,6:00,02.04.2023
02.04.2023 05:00,9,748.5,761.2,46,从南方吹来的风,5,,烟,,无明显的云,2.5,-2,5:00,02.04.2023
02.04.2023 04:00,9,748.5,761.2,46,从南方吹来的风,3,,烟,,无明显的云,2,-2,4:00,02.04.2023
02.04.2023 03:00,10,747.9,760.5,40,从南方吹来的风,4,,烟,,无明显的云,4,-3,3:00,02.04.2023
02.04.2023 02:00,11,747.9,760.5,38,从南方吹来的风,4,,烟,,无明显的云,2.8,-3,2:00,02.04.2023
02.04.2023 01:00,11,747.9,760.5,38,从南方吹来的风,4,,烟,,无明显的云,2,-3,1:00,02.04.2023
02.04.2023 00:00,12,747.9,760.5,35,从南方吹来的风,3,,烟,,无明显的云,2,-3,0:00,02.04.2023
01.04.2023 23:00,11,747.9,760.5,41,从南方吹来的风,2,,烟,,无明显的云,2,-2,23:00,01.04.2023
01.04.2023 22:00,12,747.2,759.7,38,从南方吹来的风,3,,烟,,无明显的云,3.5,-2,22:00,01.04.2023
01.04.2023 21:00,13,747.2,759.7,38,从南方吹来的风,3,,烟,,无明显的云,4,-1,21:00,01.04.2023
01.04.2023 20:00,14,747.2,759.7,33,从南方吹来的风,3,,,,无明显的云,7,-2,20:00,01.04.2023
01.04.2023 19:00,16,746.6,759,31,从西南偏南方向吹来的风,3,,,,无明显的云,7,-1,19:00,01.04.2023
01.04.2023 18:00,19,746,758.2,26,从西南偏南方向吹来的风,5,10,,,无明显的云,7,-1,18:00,01.04.2023
01.04.2023 17:00,21,746.1,758.2,25,从西南偏南方向吹来的风,5,,,,无明显的云,6,0,17:00,01.04.2023
01.04.2023 16:00,22,746.1,758.2,23,从西南偏南方向吹来的风,8,,,,无明显的云,7,0,16:00,01.04.2023
01.04.2023 15:00,23,746.1,758.2,22,从西南方吹来的风,9,,烟,,无明显的云,4,0,15:00,01.04.2023
01.04.2023 14:00,23,746.1,758.2,22,从西南偏南方向吹来的风,9,14,烟,,无明显的云,4,0,14:00,01.04.2023
01.04.2023 13:00,23,746.1,758.2,22,从西南方吹来的风,9,,烟,,无明显的云,4,0,13:00,01.04.2023
01.04.2023 12:00,22,746.1,758.2,27,从西南偏南方向吹来的风,9,,烟,,无明显的云,4,2,12:00,01.04.2023
01.04.2023 11:00,20,746.8,759,35,从西南偏南方向吹来的风,8,,烟,,无明显的云,4,4,11:00,01.04.2023
01.04.2023 10:00,18,746.7,759,37,从南方吹来的风,6,,烟,,无明显的云,3.5,3,10:00,01.04.2023
01.04.2023 09:00,16,746.6,759,42,从南方吹来的风,6,,烟,,无明显的云,4,3,9:00,01.04.2023
01.04.2023 08:00,13,746.5,759,47,从南方吹来的风,6,,烟,,无明显的云,4.5,2,8:00,01.04.2023
01.04.2023 07:00,11,746.4,759,50,从南方吹来的风,6,,烟,,无明显的云,4,1,7:00,01.04.2023
01.04.2023 06:00,8,745.5,758.2,57,从南方吹来的风,4,,烟,,无明显的云,3,0,6:00,01.04.2023
01.04.2023 05:00,10,745.6,758.2,50,从南方吹来的风,4,,烟,,无明显的云,4,0,5:00,01.04.2023
01.04.2023 04:00,10,745.6,758.2,54,从南方吹来的风,5,,烟,,无明显的云,2.8,1,4:00,01.04.2023
01.04.2023 03:00,10,745.6,758.2,54,从南方吹来的风,4,,烟,,无明显的云,3.2,1,3:00,01.04.2023
01.04.2023 02:00,11,745.6,758.2,50,从南方吹来的风,4,,烟,,无明显的云,3,1,2:00,01.04.2023
01.04.2023 01:00,12,745.7,758.2,47,从南方吹来的风,4,,烟,,无明显的云,4,1,1:00,01.04.2023
01.04.2023 00:00,11,745.6,758.2,50,从南方吹来的风,3,,烟,,无明显的云,2,1,0:00,01.04.2023
31.03.2023 23:00,13,745.7,758.2,41,从南方吹来的风,4,,烟,,无明显的云,2,0,23:00,31.03.2023
31.03.2023 22:00,13,745.7,758.2,41,从南方吹来的风,3,,烟,,无明显的云,1.6,0,22:00,31.03.2023
31.03.2023 21:00,14,745.8,758.2,39,从南方吹来的风,2,,烟,,无明显的云,1.4,0,21:00,31.03.2023
31.03.2023 20:00,14,745.8,758.2,39,从南方吹来的风,3,,烟,,无明显的云,1.4,0,20:00,31.03.2023
31.03.2023 19:00,15,745.8,758.2,36,从南方吹来的风,3,,烟,,无明显的云,2,0,19:00,31.03.2023
31.03.2023 18:00,17,745.9,758.2,32,从南方吹来的风,3,,烟,,疏云 (40-50%) 990 米,3,0,18:00,31.03.2023
31.03.2023 17:00,20,746,758.2,26,从南方吹来的风,2,,烟,,多云 (60-90%) 990 米,4,0,17:00,31.03.2023
31.03.2023 16:00,21,746.1,758.2,25,从西南方吹来的风,5,,烟,,疏云 (40-50%) 990 米,5,0,16:00,31.03.2023
31.03.2023 15:00,22,746.1,758.2,23,从西南偏西方向吹来的风,4,,,,少云 (10-30%) 990 米,6,0,15:00,31.03.2023
31.03.2023 14:00,22,746.9,759,25,从西南偏西方向吹来的风,6,,,,少云 (10-30%) 990 米,6,1,14:00,31.03.2023
31.03.2023 13:00,21,747.5,759.7,27,从西方吹来的风,5,,烟,,疏云 (40-50%) 990 米,3.5,1,13:00,31.03.2023
31.03.2023 12:00,20,748.3,760.5,28,从西南偏西方向吹来的风,5,,烟,,无明显的云,3.5,1,12:00,31.03.2023
31.03.2023 11:00,19,748.2,760.5,30,从西南偏南方向吹来的风,4,,烟,,无明显的云,2,1,11:00,31.03.2023
31.03.2023 10:00,16,748.8,761.2,34,从西南偏南方向吹来的风,3,,烟,,无明显的云,2,0,10:00,31.03.2023
31.03.2023 09:00,13,748.7,761.2,38,从西南偏南方向吹来的风,4,,烟,,无明显的云,2.8,-1,9:00,31.03.2023
31.03.2023 08:00,10,748.5,761.2,43,从南方吹来的风,3,,烟,,无明显的云,1.6,-2,8:00,31.03.2023
31.03.2023 07:00,5,748.3,761.2,53,从东南偏南方向吹来的风,3,,烟,,无明显的云,1.2,-4,7:00,31.03.2023
31.03.2023 06:00,3,748.2,761.2,56,从东南偏南方向吹来的风,3,,烟,,无明显的云,1.1,-5,6:00,31.03.2023
31.03.2023 05:00,2,748.2,761.2,56,从南方吹来的风,2,,烟,,无明显的云,1,-6,5:00,31.03.2023
31.03.2023 04:00,3,748.2,761.2,56,从东南偏南方向吹来的风,3,,烟,,无明显的云,0.6,-5,4:00,31.03.2023
31.03.2023 03:00,3,747.5,760.5,56,从东南方吹来的风,2,,烟,,无明显的云,0.4,-5,3:00,31.03.2023
31.03.2023 02:00,4,747.6,760.5,52,从东南偏南方向吹来的风,2,,烟,,无明显的云,0.4,-5,2:00,31.03.2023
31.03.2023 01:00,3,747.5,760.5,56,从东南偏东方向吹来的风,1,,烟,,无明显的云,0.4,-5,1:00,31.03.2023
31.03.2023 00:00,3,747.5,760.5,52,从东南方吹来的风,1,,烟,,无明显的云,0.8,-6,0:00,31.03.2023
30.03.2023 23:00,4,747.6,760.5,52,风向多变,1,,烟,,无明显的云,1,-5,23:00,30.03.2023
30.03.2023 22:00,5,747.6,760.5,49,从东北偏东方向吹来的风,1,,烟,,无明显的云,1.2,-5,22:00,30.03.2023
30.03.2023 21:00,6,747.7,760.5,46,从西南偏南方向吹来的风,2,,烟,,无明显的云,1.6,-5,21:00,30.03.2023
30.03.2023 20:00,7,746.9,759.7,39,从西南偏南方向吹来的风,2,,烟,,无明显的云,2,-6,20:00,30.03.2023
30.03.2023 19:00,9,747,759.7,40,从西南方吹来的风,4,,烟,,无明显的云,3,-4,19:00,30.03.2023
30.03.2023 18:00,14,747.2,759.7,29,从西北偏西方向吹来的风,2,,烟,,无明显的云,5,-4,18:00,30.03.2023
30.03.2023 17:00,16,746.6,759,23,从西北偏西方向吹来的风,4,,,,无明显的云,10.0 大于等于,-5,17:00,30.03.2023
30.03.2023 16:00,16,746.6,759,22,从西北偏西方向吹来的风,5,,,,无明显的云,10.0 大于等于,-6,16:00,30.03.2023
30.03.2023 15:00,16,746.6,759,22,从西方吹来的风,6,,,,无明显的云,10.0 大于等于,-6,15:00,30.03.2023
30.03.2023 14:00,17,746.7,759,22,从西方吹来的风,6,,,,无明显的云,10.0 大于等于,-5,14:00,30.03.2023
30.03.2023 13:00,16,747.3,759.7,23,从西北偏西方向吹来的风,6,11,,,无明显的云,10.0 大于等于,-5,13:00,30.03.2023
30.03.2023 12:00,15,747.3,759.7,23,从西北偏西方向吹来的风,6,11,,,无明显的云,10.0 大于等于,-6,12:00,30.03.2023
30.03.2023 11:00,15,747.3,759.7,25,从西北偏西方向吹来的风,7,,,,无明显的云,10.0 大于等于,-5,11:00,30.03.2023
30.03.2023 10:00,14,748,760.5,25,从西方吹来的风,3,,,,无明显的云,10.0 大于等于,-6,10:00,30.03.2023
30.03.2023 09:00,12,747.9,760.5,28,从西南偏西方向吹来的风,2,,,,无明显的云,10.0 大于等于,-6,9:00,30.03.2023
30.03.2023 08:00,11,747.9,760.5,32,从西方吹来的风,2,,,,无明显的云,10.0 大于等于,-5,8:00,30.03.2023
30.03.2023 07:00,6,747.7,760.5,46,从西方吹来的风,3,,,,无明显的云,8,-5,7:00,30.03.2023
30.03.2023 06:00,1,746.7,759.7,56,从西南偏南方向吹来的风,2,,,,无明显的云,10.0 大于等于,-7,6:00,30.03.2023
30.03.2023 05:00,4,746.8,759.7,48,从西方吹来的风,3,,,,无明显的云,10.0 大于等于,-6,5:00,30.03.2023
30.03.2023 04:00,5,746.2,759,42,从西北偏西方向吹来的风,3,,,,无明显的云,10.0 大于等于,-7,4:00,30.03.2023
30.03.2023 03:00,5,745.4,758.2,45,从西北偏西方向吹来的风,3,,,,无明显的云,10.0 大于等于,-6,3:00,30.03.2023
30.03.2023 02:00,7,745.5,758.2,39,从西北偏西方向吹来的风,2,,,,无明显的云,10.0 大于等于,-6,2:00,30.03.2023
30.03.2023 01:00,8,745.5,758.2,40,从西北方吹来的风,3,,,,无明显的云,10.0 大于等于,-5,1:00,30.03.2023
30.03.2023 00:00,10,745.1,757.7,35,从西北方吹来的风,3,,,,无明显的云,10.0 大于等于,-5,0:00,30.03.2023
29.03.2023 23:00,11,745.1,757.7,35,从西北偏西方向吹来的风,3,,,,无明显的云,10.0 大于等于,-4,23:00,29.03.2023
29.03.2023 22:00,11,744.4,756.9,38,从西方吹来的风,5,,,,无明显的云,6,-3,22:00,29.03.2023
29.03.2023 21:00,12,743.7,756.2,47,从西南偏西方向吹来的风,9,,烟,,无明显的云,4,1,21:00,29.03.2023
29.03.2023 20:00,12,742.9,755.4,41,从西南偏南方向吹来的风,7,,,,无明显的云,8,-1,20:00,29.03.2023
29.03.2023 19:00,13,743,755.4,33,从西南偏南方向吹来的风,5,,,,无明显的云,8,-3,19:00,29.03.2023
29.03.2023 18:00,13,743,755.4,33,从西南方吹来的风,5,,,,无明显的云,7,-3,18:00,29.03.2023
29.03.2023 17:00,18,742.4,754.6,24,从西南偏西方向吹来的风,9,,,,无明显的云,10.0 大于等于,-3,17:00,29.03.2023
29.03.2023 16:00,19,742.4,754.6,24,从西南偏西方向吹来的风,10,,,,无明显的云,7,-2,16:00,29.03.2023
29.03.2023 15:00,19,743.2,755.4,24,从西南方吹来的风,12,,,,无明显的云,7,-2,15:00,29.03.2023
29.03.2023 14:00,20,743.3,755.4,23,从西南偏西方向吹来的风,10,,,,无明显的云,7,-2,14:00,29.03.2023
29.03.2023 13:00,19,744,756.2,24,从西南方吹来的风,11,16,,,无明显的云,7,-2,13:00,29.03.2023
29.03.2023 12:00,18,744.7,756.9,28,从西南偏南方向吹来的风,9,,,,无明显的云,6,-1,12:00,29.03.2023
29.03.2023 11:00,16,745.4,757.7,31,从西南偏南方向吹来的风,8,,烟,,无明显的云,4,-1,11:00,29.03.2023
29.03.2023 10:00,13,745.7,758.2,36,从西南方吹来的风,8,,烟,,无明显的云,3,-2,10:00,29.03.2023
29.03.2023 09:00,11,746.4,759,41,从西南方吹来的风,8,,烟,,无明显的云,5,-2,9:00,29.03.2023
29.03.2023 08:00,8,746.3,759,50,从西南偏南方向吹来的风,7,,烟,,无明显的云,5,-2,8:00,29.03.2023
29.03.2023 07:00,5,746.8,759.7,57,从西南偏南方向吹来的风,7,,烟,,无明显的云,5,-3,7:00,29.03.2023
29.03.2023 06:00,3,746.7,759.7,56,从西南偏南方向吹来的风,4,,烟,,无明显的云,5,-5,6:00,29.03.2023
29.03.2023 05:00,2,746.7,759.7,60,从南方吹来的风,4,,烟,,无明显的云,4,-5,5:00,29.03.2023
29.03.2023 04:00,2,746.7,759.7,60,从南方吹来的风,4,,烟,,无明显的云,4,-5,4:00,29.03.2023
29.03.2023 03:00,3,747.5,760.5,56,从南方吹来的风,4,,烟,,无明显的云,5,-5,3:00,29.03.2023
29.03.2023 02:00,4,747.6,760.5,48,从南方吹来的风,4,,烟,,无明显的云,2.6,-6,2:00,29.03.2023
29.03.2023 01:00,4,748.3,761.2,45,从南方吹来的风,4,,烟,,无明显的云,4,-7,1:00,29.03.2023
29.03.2023 00:00,5,748.3,761.2,39,从南方吹来的风,3,,烟,,无明显的云,5,-8,0:00,29.03.2023
28.03.2023 23:00,2,749,762,38,风向多变,1,,,,无明显的云,7,-11,23:00,28.03.2023
28.03.2023 22:00,1,748.9,762,41,从南方吹来的风,2,,,,无明显的云,10.0 大于等于,-11,22:00,28.03.2023
28.03.2023 21:00,1,749.7,762.8,41,从东南偏南方向吹来的风,1,,,,无明显的云,10.0 大于等于,-11,21:00,28.03.2023
28.03.2023 20:00,3,749.8,762.8,35,从西南偏南方向吹来的风,1,,,,无明显的云,7,-11,20:00,28.03.2023
