气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,重要天象,时间,date
-19,750.8,765,92,3,"霾, 烟",,1:00,2023/1/8
-19,751.6,765.8,84,3,"霾, 烟",,0:00,2023/1/8
-21,751.5,765.8,84,2,"霾, 烟",,23:00,2023/1/7
-20,751.6,765.8,92,2,霾,,22:00,2023/1/7
-21,751.5,765.8,92,1,霾,,21:00,2023/1/7
-21,751.5,765.8,92,1,霾,,20:00,2023/1/7
-19,752.4,766.6,92,2,霾,,19:00,2023/1/7
-19,751.6,765.8,84,2,霾,,18:00,2023/1/7
-17,751.7,765.8,78,2,霾,,17:00,2023/1/7
-16,751.8,765.8,78,2,霾,,16:00,2023/1/7
-15,751.1,765,78,2,霾,,15:00,2023/1/7
-14,751.1,765,72,3,霾,,14:00,2023/1/7
-15,751.1,765,78,3,霾,,13:00,2023/1/7
-17,750.9,765,85,3,霾,,12:00,2023/1/7
-18,750.9,765,84,1,"霾, 烟",,11:00,2023/1/7
-21,751.5,765.8,84,3,"霾, 烟",,10:00,2023/1/7
-22,750.7,765,84,1,"霾, 烟",,9:00,2023/1/7
-25,749.8,764.3,83,1,"霾, 烟",,8:00,2023/1/7
-27,749.7,764.3,83,1,"霾, 烟",,7:00,2023/1/7
-27,749.7,764.3,83,1,"轻雾, 烟",,6:00,2023/1/7
-26,749,763.5,76,1,"轻雾, 烟",,5:00,2023/1/7
-27,748.9,763.5,83,2,"轻雾, 烟",,4:00,2023/1/7
-26,749,763.5,83,1,"轻雾, 烟",,3:00,2023/1/7
-26,749,763.5,83,0,"轻雾, 烟",,2:00,2023/1/7
-26,749,763.5,83,0,"轻雾, 烟",,1:00,2023/1/7
-23,749.1,763.5,84,1,"轻雾, 烟",,0:00,2023/1/7
-23,749.9,764.3,84,2,"轻雾, 烟",,23:00,2023/1/6
-23,749.9,764.3,84,1,"轻雾, 烟",,22:00,2023/1/6
-22,750,764.3,92,1,"轻雾, 烟",,21:00,2023/1/6
-22,750,764.3,92,2,"轻雾, 烟",,20:00,2023/1/6
-20,750.1,764.3,84,2,轻雾,,19:00,2023/1/6
-21,750,764.3,92,2,轻雾,,18:00,2023/1/6
-20,750.1,764.3,92,2,轻雾,,17:00,2023/1/6
-17,750.3,764.3,78,3,轻雾,,16:00,2023/1/6
-16,750.3,764.3,85,2,轻雾,,15:00,2023/1/6
-15,750.4,764.3,85,3,轻雾,,14:00,2023/1/6
-15,750.4,764.3,85,2,轻雾,,13:00,2023/1/6
-17,750.9,765,92,2,轻雾,,12:00,2023/1/6
-18,751.7,765.8,84,2,冻 雾,,11:00,2023/1/6
-20,752.4,766.6,84,2,轻雾,,10:00,2023/1/6
-21,752.3,766.6,84,1,轻雾,,9:00,2023/1/6
-21,752.3,766.6,84,1,冻 雾,,8:00,2023/1/6
-22,751.5,765.8,84,1,冻 雾,,7:00,2023/1/6
-22,752.2,766.6,84,2,冻 雾,,6:00,2023/1/6
-25,752.1,766.6,76,2,轻雾,,5:00,2023/1/6
-25,752.1,766.6,83,0,轻雾,,4:00,2023/1/6
-25,752.1,766.6,83,1,轻雾,,3:00,2023/1/6
-22,752.2,766.6,84,1,轻雾,,2:00,2023/1/6
-23,752.2,766.6,84,1,轻雾,,1:00,2023/1/6
-22,752.9,767.3,92,1,轻雾,,0:00,2023/1/6
-21,753,767.3,92,1,轻雾,,23:00,2023/1/5
-19,753.1,767.3,92,1,轻雾,,22:00,2023/1/5
-18,753.2,767.3,92,1,轻雾,,21:00,2023/1/5
-17,753.2,767.3,92,2,轻雾,,20:00,2023/1/5
-15,754.1,768.1,85,2,霾,,19:00,2023/1/5
-13,754.2,768.1,78,2,霾,,18:00,2023/1/5
-13,754.2,768.1,78,2,"霾, 烟",,17:00,2023/1/5
-11,754.3,768.1,73,3,霾,,16:00,2023/1/5
-9,754.4,768.1,67,4,,,15:00,2023/1/5
-8,754.5,768.1,62,3,,,14:00,2023/1/5
-9,754.4,768.1,62,4,,,13:00,2023/1/5
-10,755.2,768.9,62,3,,,12:00,2023/1/5
-12,755,768.9,67,4,,,11:00,2023/1/5
-14,755.6,769.6,66,3,,,10:00,2023/1/5
-16,755.5,769.6,72,3,,,9:00,2023/1/5
-18,755.4,769.6,71,2,,,8:00,2023/1/5
-18,754.7,768.9,78,3,,,7:00,2023/1/5
-19,754.7,768.9,77,3,,,6:00,2023/1/5
-19,755.4,769.6,77,3,,,5:00,2023/1/5
-19,755.4,769.6,84,3,,,4:00,2023/1/5
-18,755.4,769.6,78,4,,,3:00,2023/1/5
-19,755.4,769.6,77,3,,,2:00,2023/1/5
-19,755.4,769.6,77,2,,,1:00,2023/1/5
-19,755.4,769.6,84,3,,,0:00,2023/1/5
-18,756.2,770.4,84,3,,,23:00,2023/1/4
-18,756.2,770.4,84,3,,,22:00,2023/1/4
-18,756.2,770.4,78,4,,,21:00,2023/1/4
-16,756.3,770.4,78,3,,,20:00,2023/1/4
-14,756.4,770.4,72,4,,,19:00,2023/1/4
-14,756.4,770.4,72,4,,,18:00,2023/1/4
-14,756.4,770.4,72,3,,,17:00,2023/1/4
-13,756.5,770.4,66,3,,,16:00,2023/1/4
-11,756.6,770.4,62,4,,,15:00,2023/1/4
-11,756.6,770.4,62,5,,,14:00,2023/1/4
-11,756.6,770.4,62,4,,,13:00,2023/1/4
-13,757.2,771.1,61,4,,,12:00,2023/1/4
-14,757.1,771.1,61,3,,,11:00,2023/1/4
-16,757.8,771.9,66,3,,,10:00,2023/1/4
-19,757.6,771.9,77,2,,,9:00,2023/1/4
-20,756.8,771.1,77,3,,,8:00,2023/1/4
-22,756.7,771.1,84,2,,,7:00,2023/1/4
-23,756.6,771.1,84,2,,,6:00,2023/1/4
-23,756.6,771.1,84,1,,,5:00,2023/1/4
-24,756.5,771.1,84,3,,,4:00,2023/1/4
-24,757.3,771.9,84,2,,,3:00,2023/1/4
-24,757.3,771.9,84,3,,,2:00,2023/1/4
-23,756.6,771.1,84,1,,,1:00,2023/1/4
-24,757.3,771.9,84,2,,,0:00,2023/1/4
-24,757.3,771.9,84,2,,,23:00,2023/1/3
-20,756.8,771.1,84,2,,,22:00,2023/1/3
-19,756.8,771.1,77,2,,,21:00,2023/1/3
-16,757,771.1,72,3,,,20:00,2023/1/3
-19,756.8,771.1,77,3,,,19:00,2023/1/3
-16,757,771.1,66,3,,,18:00,2023/1/3
-14,757.1,771.1,66,4,,,17:00,2023/1/3
-13,757.2,771.1,66,3,,,16:00,2023/1/3
-12,756.5,770.4,61,4,,,15:00,2023/1/3
-11,756.6,770.4,62,4,,,14:00,2023/1/3
-12,756.5,770.4,61,3,,,13:00,2023/1/3
-13,756.5,770.4,61,3,,,12:00,2023/1/3
-14,756.4,770.4,61,2,,,11:00,2023/1/3
-16,757,771.1,72,2,,,10:00,2023/1/3
-19,756.8,771.1,77,2,,,9:00,2023/1/3
-21,756,770.4,77,2,,,8:00,2023/1/3
-22,756,770.4,84,3,,,7:00,2023/1/3
-21,755.2,769.6,77,2,,,6:00,2023/1/3
-21,755.2,769.6,84,3,,,5:00,2023/1/3
-20,756.1,770.4,84,3,,,4:00,2023/1/3
-20,756.1,770.4,84,4,,,3:00,2023/1/3
-19,756.8,771.1,84,3,,,2:00,2023/1/3
-19,756.1,770.4,84,3,,,1:00,2023/1/3
-22,756,770.4,84,3,,,0:00,2023/1/3
-21,756.7,771.1,84,2,,,23:00,2023/1/2
-20,756.8,771.1,84,2,,,22:00,2023/1/2
-17,756.9,771.1,71,3,,,21:00,2023/1/2
-15,757,771.1,66,4,,,20:00,2023/1/2
-15,757,771.1,72,4,,,19:00,2023/1/2
-16,756.3,770.4,72,5,,,18:00,2023/1/2
-15,756.4,770.4,72,5,,,17:00,2023/1/2
-13,756.5,770.4,72,5,,,16:00,2023/1/2
-12,756.5,770.4,67,5,,,15:00,2023/1/2
-11,756.6,770.4,62,5,,,14:00,2023/1/2
-12,756.5,770.4,61,6,,,13:00,2023/1/2
-13,756.5,770.4,61,7,,,12:00,2023/1/2
-15,757.8,771.9,66,6,,,11:00,2023/1/2
-16,757.8,771.9,66,5,,,10:00,2023/1/2
-18,757.7,771.9,71,6,,,9:00,2023/1/2
-21,758.3,772.7,70,5,,,8:00,2023/1/2
-22,758.2,772.7,70,4,,,7:00,2023/1/2
-22,758.2,772.7,70,4,,,6:00,2023/1/2
-22,758.2,772.7,70,3,,,5:00,2023/1/2
-19,758.4,772.7,65,4,,,4:00,2023/1/2
-19,758.4,772.7,65,4,,,3:00,2023/1/2
-19,759.1,773.4,65,4,,,2:00,2023/1/2
-18,758.5,772.7,65,5,,,1:00,2023/1/2
-18,758.5,772.7,65,5,,,0:00,2023/1/2
-20,758.3,772.7,71,4,,,23:00,2023/1/1
-20,758.3,772.7,71,3,,,22:00,2023/1/1
-18,758.5,772.7,65,2,,,21:00,2023/1/1
-16,758.6,772.7,55,3,,,20:00,2023/1/1
-16,758.6,772.7,55,3,,,19:00,2023/1/1
-16,757.8,771.9,60,3,,,18:00,2023/1/1
-15,757.8,771.9,55,2,,,17:00,2023/1/1
-14,757.9,771.9,56,3,,,16:00,2023/1/1
-12,757.2,771.1,52,4,,,15:00,2023/1/1
-12,757.2,771.1,52,7,,,14:00,2023/1/1
-12,757.2,771.1,52,5,,,13:00,2023/1/1
-13,757.2,771.1,56,5,,,12:00,2023/1/1
-14,757.1,771.1,56,4,,,11:00,2023/1/1
-16,757,771.1,66,5,,,10:00,2023/1/1
-18,756.2,770.4,65,4,,,7:00,2023/1/1
-19,756.1,770.4,71,5,,,6:00,2023/1/1
-18,755.4,769.6,71,5,,,5:00,2023/1/1
-18,755.4,769.6,71,5,,,4:00,2023/1/1
-17,755.5,769.6,71,4,,,3:00,2023/1/1
-18,754.7,768.9,78,4,,,2:00,2023/1/1
-17,754.8,768.9,71,4,,,1:00,2023/1/1
-15,754.9,768.9,66,3,,,0:00,2023/1/1
-15,754.9,768.9,78,4,,,23:00,2022/12/31
-17,754.8,768.9,78,3,,,22:00,2022/12/31
-17,754.8,768.9,78,3,,,21:00,2022/12/31
-15,754.9,768.9,78,2,,,20:00,2022/12/31
-12,755,768.9,72,3,,,19:00,2022/12/31
-11,755.1,768.9,73,3,,,18:00,2022/12/31
-10,754.4,768.1,67,4,,,17:00,2022/12/31
-10,754.4,768.1,73,3,,,16:00,2022/12/31
-8,753.7,767.3,68,4,,,15:00,2022/12/31
-8,753.7,767.3,68,5,,,14:00,2022/12/31
-8,753.7,767.3,68,4,,,13:00,2022/12/31
-10,753.6,767.3,73,4,,,12:00,2022/12/31
-11,753.5,767.3,73,5,,,11:00,2022/12/31
-12,753.5,767.3,72,4,,,10:00,2022/12/31
-13,753.4,767.3,72,5,,,9:00,2022/12/31
-14,752.7,766.6,78,5,,,8:00,2022/12/31
-13,751.9,765.8,72,4,,,7:00,2022/12/31
-13,751.9,765.8,72,6,,,6:00,2022/12/31
-14,751.1,765,78,6,,,5:00,2022/12/31
-13,751.2,765,72,5,,,4:00,2022/12/31
-11,751.3,765,73,6,,,3:00,2022/12/31
-10,751.3,765,67,7,,,2:00,2022/12/31
-10,751.3,765,67,6,,,1:00,2022/12/31
-11,752.1,765.8,73,6,,,0:00,2022/12/31
-11,752.8,766.6,67,4,,,23:00,2022/12/30
-11,752.8,766.6,67,5,,,22:00,2022/12/30
-11,752.8,766.6,73,5,,,21:00,2022/12/30
-12,753.5,767.3,72,5,,,20:00,2022/12/30
-12,753.5,767.3,72,5,,,19:00,2022/12/30
-12,754.3,768.1,72,5,,,18:00,2022/12/30
-12,754.3,768.1,72,5,,,17:00,2022/12/30
-12,754.3,768.1,72,5,,,16:00,2022/12/30
-11,755.1,768.9,67,4,,,15:00,2022/12/30
-11,755.1,768.9,67,4,,,14:00,2022/12/30
-12,755,768.9,67,5,,,13:00,2022/12/30
-13,755.7,769.6,72,4,霾,,12:00,2022/12/30
-14,756.4,770.4,72,4,霾,,11:00,2022/12/30
-16,757,771.1,78,4,霾,,10:00,2022/12/30
-18,756.9,771.1,84,3,轻雾,,9:00,2022/12/30
-20,756.8,771.1,92,2,轻雾,,8:00,2022/12/30
-21,756.7,771.1,84,3,轻雾,,7:00,2022/12/30
-21,756.7,771.1,92,3,轻雾,,6:00,2022/12/30
-22,756.7,771.1,84,2,轻雾,,5:00,2022/12/30
-22,757.4,771.9,84,2,轻雾,,4:00,2022/12/30
-21,757.5,771.9,84,2,,,3:00,2022/12/30
-23,757.4,771.9,84,2,,,2:00,2022/12/30
-21,757.5,771.9,84,2,,,1:00,2022/12/30
-21,757.5,771.9,84,2,,,0:00,2022/12/30
-20,757.6,771.9,92,2,,,23:00,2022/12/29
-21,757.5,771.9,84,3,轻雾,,22:00,2022/12/29
-20,757.6,771.9,84,2,轻雾,,21:00,2022/12/29
-23,757.4,771.9,92,2,轻雾,,20:00,2022/12/29
-21,757.5,771.9,92,2,轻雾,,19:00,2022/12/29
-20,757.6,771.9,84,2,轻雾,,18:00,2022/12/29
-18,757.7,771.9,84,2,霾,,17:00,2022/12/29
-16,757,771.1,78,4,霾,,16:00,2022/12/29
-15,757,771.1,72,4,,,15:00,2022/12/29
-14,756.4,770.4,72,5,,,14:00,2022/12/29
-15,756.4,770.4,72,3,,,13:00,2022/12/29
-16,756.3,770.4,72,4,,,12:00,2022/12/29
-17,756.3,770.4,71,5,霾,,11:00,2022/12/29
-19,756.1,770.4,77,4,轻雾,,10:00,2022/12/29
-20,756.1,770.4,77,4,轻雾,,9:00,2022/12/29
-23,755.9,770.4,77,2,轻雾,,8:00,2022/12/29
-23,755.9,770.4,84,2,轻雾,,7:00,2022/12/29
-22,755.2,769.6,84,3,轻雾,,6:00,2022/12/29
-22,755.2,769.6,84,3,轻雾,,5:00,2022/12/29
-22,755.2,769.6,84,3,轻雾,,4:00,2022/12/29
-21,756,770.4,84,3,轻雾,,3:00,2022/12/29
-21,756,770.4,84,3,轻雾,,2:00,2022/12/29
-21,756,770.4,84,3,轻雾,,1:00,2022/12/29
-21,756,770.4,84,4,轻雾,,0:00,2022/12/29
-20,756.1,770.4,92,4,轻雾,,23:00,2022/12/28
-20,756.1,770.4,84,4,轻雾,,22:00,2022/12/28
-19,756.1,770.4,92,4,轻雾,,21:00,2022/12/28
-19,756.1,770.4,92,4,轻雾,,20:00,2022/12/28
-19,756.1,770.4,84,4,轻雾,,19:00,2022/12/28
-20,756.1,770.4,92,4,轻雾,,18:00,2022/12/28
-18,756.2,770.4,84,5,轻雾,,17:00,2022/12/28
-16,755.5,769.6,85,5,"轻度（小）（弱） 雪, 轻雾",,16:00,2022/12/28
-16,754.8,768.9,85,6,"轻度（小）（弱） 雪, 轻雾",,15:00,2022/12/28
-16,754.8,768.9,85,4,"轻度（小）（弱） 雪, 轻雾",,14:00,2022/12/28
-16,754.8,768.9,85,5,"轻度（小）（弱） 雪, 轻雾",,13:00,2022/12/28
-17,754.8,768.9,85,5,"轻度（小）（弱） 雪, 轻雾",,12:00,2022/12/28
-18,755.4,769.6,92,4,"轻度（小）（弱） 雪, 轻雾",,11:00,2022/12/28
-19,755.4,769.6,84,4,"轻度（小）（弱） 雪, 轻雾",,10:00,2022/12/28
-20,755.3,769.6,84,4,"轻度（小）（弱） 雪, 轻雾",,9:00,2022/12/28
-21,755.2,769.6,84,3,"轻度（小）（弱） 雪, 轻雾",,8:00,2022/12/28
-21,754.6,768.9,84,3,"轻度（小）（弱） 雪, 轻雾",,7:00,2022/12/28
-21,754.6,768.9,84,3,"轻度（小）（弱） 雪, 轻雾",,6:00,2022/12/28
-22,754.5,768.9,92,3,"轻度（小）（弱） 雪, 轻雾",,5:00,2022/12/28
-21,754.6,768.9,92,3,"轻度（小）（弱） 雪, 轻雾",,4:00,2022/12/28
-20,754.6,768.9,92,2,"轻度（小）（弱） 雪, 轻雾",,3:00,2022/12/28
-21,754.6,768.9,84,2,"轻度（小）（弱） 雪, 轻雾",,2:00,2022/12/28
-21,754.6,768.9,84,1,"轻度（小）（弱） 雪, 轻雾",,1:00,2022/12/28
-19,754.7,768.9,92,2,"轻度（小）（弱） 雪, 轻雾",,0:00,2022/12/28
-18,754.7,768.9,84,0,"轻度（小）（弱） 雪, 轻雾",,23:00,2022/12/27
-16,754.8,768.9,92,1,"轻度（小）（弱） 雪, 轻雾",,22:00,2022/12/27
-16,755.5,769.6,92,1,"轻度（小）（弱） 雪, 轻雾",,21:00,2022/12/27
-15,755.6,769.6,85,1,"轻度（小）（弱） 雪, 轻雾",,20:00,2022/12/27
-15,755.6,769.6,85,1,"轻度（小）（弱） 雪, 轻雾",,19:00,2022/12/27
-16,755.5,769.6,92,1,"轻度（小）（弱） 雪, 轻雾",,18:00,2022/12/27
-16,755.5,769.6,85,2,"轻度（小）（弱） 雪, 轻雾",,17:00,2022/12/27
-16,756.3,770.4,85,2,轻雾,,16:00,2022/12/27
-16,756.3,770.4,85,2,轻雾,,15:00,2022/12/27
-15,756.4,770.4,78,2,轻雾,,14:00,2022/12/27
-16,756.3,770.4,78,2,轻雾,,13:00,2022/12/27
-17,756.9,771.1,85,3,轻雾,,12:00,2022/12/27
-17,757.7,771.9,85,1,轻雾,,11:00,2022/12/27
-19,757.6,771.9,84,2,轻雾,,10:00,2022/12/27
-21,758.3,772.7,92,1,"冻 雾, 烟",,9:00,2022/12/27
-23,757.4,771.9,84,1,"冻 雾, 烟",,8:00,2022/12/27
-25,757.3,771.9,83,0,"轻雾, 烟",,7:00,2022/12/27
-24,757.3,771.9,84,1,"轻雾, 烟",,6:00,2022/12/27
-25,757.3,771.9,83,1,"轻雾, 烟",,5:00,2022/12/27
-24,757.3,771.9,84,1,"轻雾, 烟",,4:00,2022/12/27
-25,757.3,771.9,83,1,"轻雾, 烟",,3:00,2022/12/27
-25,757.3,771.9,83,1,"轻雾, 烟",,2:00,2022/12/27
-25,757.3,771.9,83,1,"轻雾, 烟",,1:00,2022/12/27
-24,758.1,772.7,84,1,"轻雾, 烟",,0:00,2022/12/27
-24,757.3,771.9,84,2,"轻雾, 烟",,23:00,2022/12/26
-24,758.1,772.7,84,1,"轻雾, 烟",,22:00,2022/12/26
-23,758.2,772.7,92,1,"轻雾, 烟",,21:00,2022/12/26
-21,758.3,772.7,84,2,"轻雾, 烟",,20:00,2022/12/26
-20,757.6,771.9,84,2,轻雾,,19:00,2022/12/26
-21,757.5,771.9,84,1,轻雾,,18:00,2022/12/26
-18,757.7,771.9,84,2,轻雾,,17:00,2022/12/26
-16,757.8,771.9,78,2,霾,,16:00,2022/12/26
-14,757.9,771.9,72,2,霾,,15:00,2022/12/26
-13,757.9,771.9,72,1,,,14:00,2022/12/26
-12,757.2,771.1,67,1,霾,,13:00,2022/12/26
-15,757.8,771.9,78,2,霾,,12:00,2022/12/26
-16,757.8,771.9,85,1,"轻雾, 烟",,11:00,2022/12/26
-19,757.6,771.9,77,1,"轻雾, 烟",,10:00,2022/12/26
-22,757.4,771.9,84,1,"轻雾, 烟",,9:00,2022/12/26
-23,757.4,771.9,84,2,"轻雾, 烟",,8:00,2022/12/26
-26,757.2,771.9,83,1,"轻雾, 烟",,7:00,2022/12/26
-26,757.2,771.9,83,1,"轻雾, 烟",,6:00,2022/12/26
-25,756.5,771.1,83,1,,,5:00,2022/12/26
-26,756.4,771.1,83,1,,,4:00,2022/12/26
-23,756.6,771.1,84,1,,,3:00,2022/12/26
-24,757.3,771.9,84,2,,,2:00,2022/12/26
-25,756.5,771.1,83,1,,,1:00,2022/12/26
-24,756.5,771.1,84,1,,,0:00,2022/12/26
-23,756.6,771.1,84,1,,,23:00,2022/12/25
-21,756.7,771.1,84,2,,,22:00,2022/12/25
-21,756.7,771.1,84,3,,,21:00,2022/12/25
-21,756.7,771.1,84,1,,,20:00,2022/12/25
-19,756.1,770.4,84,0,,,19:00,2022/12/25
-17,756.3,770.4,85,1,,,18:00,2022/12/25
-13,756.5,770.4,72,2,,,17:00,2022/12/25
-12,755.7,769.6,67,1,,,16:00,2022/12/25
-12,755.7,769.6,67,3,,,15:00,2022/12/25
-12,755.7,769.6,67,3,,,14:00,2022/12/25
-12,755.7,769.6,67,3,,,13:00,2022/12/25
-13,755,768.9,66,4,,,12:00,2022/12/25
-14,755.6,769.6,72,4,,,11:00,2022/12/25
-15,755.6,769.6,72,2,,,10:00,2022/12/25
-17,755.5,769.6,78,2,,,9:00,2022/12/25
-18,755.4,769.6,78,2,,,8:00,2022/12/25
-18,754.7,768.9,78,3,,,7:00,2022/12/25
-18,754.7,768.9,78,3,,,6:00,2022/12/25
-18,754.7,768.9,84,3,,,5:00,2022/12/25
-17,754.8,768.9,78,3,,,4:00,2022/12/25
-16,754.8,768.9,78,4,,,3:00,2022/12/25
-15,754.9,768.9,78,4,,,2:00,2022/12/25
-15,754.9,768.9,78,4,,,1:00,2022/12/25
-16,754.8,768.9,78,3,,,0:00,2022/12/25
-16,754.8,768.9,85,3,,,23:00,2022/12/24
-16,754.8,768.9,78,2,,,22:00,2022/12/24
-14,754.9,768.9,85,3,,,21:00,2022/12/24
-13,755,768.9,78,2,,,20:00,2022/12/24
-12,755,768.9,79,3,,,19:00,2022/12/24
-11,754.3,768.1,73,3,,,18:00,2022/12/24
-11,754.3,768.1,79,3,,,17:00,2022/12/24
-10,754.4,768.1,73,3,,,16:00,2022/12/24
-9,754.4,768.1,73,3,,,15:00,2022/12/24
-10,754.4,768.1,73,3,,,14:00,2022/12/24
-10,754.4,768.1,73,4,,,13:00,2022/12/24
-11,754.3,768.1,73,4,,,12:00,2022/12/24
-12,754.3,768.1,72,2,,,11:00,2022/12/24
-15,754.9,768.9,78,3,,,10:00,2022/12/24
-18,754.7,768.9,84,2,,,9:00,2022/12/24
-19,753.9,768.1,84,2,,,8:00,2022/12/24
-20,753.8,768.1,84,2,,,7:00,2022/12/24
-19,753.9,768.1,92,2,,,6:00,2022/12/24
-17,753.2,767.3,85,2,,,5:00,2022/12/24
-17,753.2,767.3,85,3,,,4:00,2022/12/24
-18,753.2,767.3,84,2,,,3:00,2022/12/24
-16,753.3,767.3,78,3,,,2:00,2022/12/24
-16,752.6,766.6,85,3,,,1:00,2022/12/24
-16,752.6,766.6,85,3,,,0:00,2022/12/24
-15,752.6,766.6,78,3,,,23:00,2022/12/23
-15,751.8,765.8,78,3,,,22:00,2022/12/23
-15,751.8,765.8,78,3,,,21:00,2022/12/23
-14,751.1,765,78,3,,,20:00,2022/12/23
-14,751.1,765,78,3,,,19:00,2022/12/23
-14,751.1,765,78,3,,,18:00,2022/12/23
-14,750.4,764.3,78,3,,,17:00,2022/12/23
-13,749.7,763.5,78,4,,,16:00,2022/12/23
-12,749.1,762.8,72,5,轻度（小）（弱） 雪,,15:00,2022/12/23
-12,749.1,762.8,72,5,轻度（小）（弱） 雪,,14:00,2022/12/23
-13,748.2,762,72,5,轻度（小）（弱） 雪,,13:00,2022/12/23
-14,747.4,761.2,78,5,轻度（小）（弱） 雪,,12:00,2022/12/23
-14,747.4,761.2,78,5,轻度（小）（弱） 雪,,11:00,2022/12/23
-15,747.3,761.2,78,5,轻度（小）（弱） 雪,,10:00,2022/12/23
-16,747.3,761.2,85,5,轻度（小）（弱） 雪,,9:00,2022/12/23
-17,746.5,760.5,85,5,"轻度（小）（弱） 雪, 轻雾",,8:00,2022/12/23
-17,745.7,759.7,78,5,轻度（小）（弱） 雪,,7:00,2022/12/23
-19,745.6,759.7,84,4,轻度（小）（弱） 雪,,6:00,2022/12/23
-19,745.6,759.7,84,3,轻度（小）（弱） 雪,,5:00,2022/12/23
-19,745.6,759.7,84,4,轻度（小）（弱） 雪,,4:00,2022/12/23
-19,745.6,759.7,77,4,轻度（小）（弱） 雪,,3:00,2022/12/23
-20,746.4,760.5,84,4,轻度（小）（弱） 雪,,2:00,2022/12/23
-20,745.6,759.7,77,5,轻度（小）（弱） 雪,,1:00,2022/12/23
-20,746.4,760.5,77,4,轻度（小）（弱） 雪,,0:00,2022/12/23
-21,746.3,760.5,77,3,轻度（小）（弱） 雪,,23:00,2022/12/22
-22,746.3,760.5,77,3,轻度（小）（弱） 雪,,22:00,2022/12/22
-23,746.9,761.2,77,3,轻度（小）（弱） 雪,,21:00,2022/12/22
-23,746.9,761.2,77,3,,,20:00,2022/12/22
-23,746.9,761.2,77,3,轻度（小）（弱） 雪,,19:00,2022/12/22
-22,747.7,762,77,3,轻度（小）（弱） 雪,,18:00,2022/12/22
-22,747.7,762,77,3,轻度（小）（弱） 雪,,17:00,2022/12/22
-21,747,761.2,77,3,,,16:00,2022/12/22
-21,747,761.2,77,3,,,15:00,2022/12/22
-21,746.3,760.5,70,4,,,14:00,2022/12/22
-21,746.3,760.5,77,5,,,13:00,2022/12/22
-21,746.3,760.5,70,5,,,12:00,2022/12/22
-22,746.3,760.5,77,4,,,11:00,2022/12/22
-23,746.9,761.2,77,4,,,10:00,2022/12/22
-24,746.8,761.2,76,4,,,9:00,2022/12/22
-24,746.8,761.2,76,3,,,8:00,2022/12/22
-24,746.8,761.2,76,3,,,7:00,2022/12/22
-24,746.8,761.2,76,3,,,6:00,2022/12/22
-24,746.1,760.5,84,3,,,5:00,2022/12/22
-23,746.2,760.5,77,3,轻度（小）（弱） 雪,,4:00,2022/12/22
-22,746.9,761.2,70,4,轻度（小）（弱） 雪,,3:00,2022/12/22
-21,747,761.2,77,5,轻度（小）（弱） 雪,,2:00,2022/12/22
-20,746.4,760.5,77,5,轻度（小）（弱） 雪,,1:00,2022/12/22
-19,746.4,760.5,84,5,轻度（小）（弱） 雪,,0:00,2022/12/22
-18,746.5,760.5,84,5,轻度（小）（弱） 雪,,23:00,2022/12/21
-18,745.7,759.7,84,4,轻度（小）（弱） 雪,,22:00,2022/12/21
-18,745.7,759.7,84,4,轻度（小）（弱） 雪,,21:00,2022/12/21
-17,745.7,759.7,85,5,轻度（小）（弱） 雪,,20:00,2022/12/21
-17,745.7,759.7,85,5,"轻度（小）（弱） 雪, 轻雾",,19:00,2022/12/21
-16,745.1,759,85,5,"轻度（小）（弱） 雪, 轻雾",,18:00,2022/12/21
-16,745.1,759,85,7,"轻度（小）（弱） 雪, 轻雾",,17:00,2022/12/21
-14,743.9,757.7,85,6,"轻度（小）（弱） 雪, 轻雾",,16:00,2022/12/21
-14,743.2,756.9,85,6,"轻度（小）（弱） 雪, 轻雾",,15:00,2022/12/21
-14,742.5,756.2,85,5,"轻度（小）（弱） 雪, 轻雾",,14:00,2022/12/21
-14,742.5,756.2,85,6,"轻度（小）（弱） 雪, 轻雾",,13:00,2022/12/21
-14,741.7,755.4,85,7,"轻度（小）（弱） 雪, 轻雾",,12:00,2022/12/21
-14,742.5,756.2,85,8,"轻度（小）（弱） 雪, 轻雾",,11:00,2022/12/21
-15,742.4,756.2,92,8,"轻度（小）（弱） 雪, 轻雾",,10:00,2022/12/21
-15,742.4,756.2,85,7,"轻度（小）（弱） 雪, 轻雾",,9:00,2022/12/21
-15,743.1,756.9,85,6,"轻度（小）（弱） 雪, 轻雾",,8:00,2022/12/21
-15,743.1,756.9,92,5,"轻度（小）（弱） 雪, 轻雾",,7:00,2022/12/21
-14,743.2,756.9,85,5,"轻度（小）（弱） 雪, 轻雾",,6:00,2022/12/21
-15,743.9,757.7,92,5,"轻度（小）（弱） 雪, 轻雾",,5:00,2022/12/21
-14,744.4,758.2,85,5,"轻度（小）（弱） 雪, 轻雾",,4:00,2022/12/21
-14,745.2,759,85,5,"轻度（小）（弱） 雪, 轻雾",,3:00,2022/12/21
-15,745.2,759,85,3,"轻度（小）（弱） 雪, 轻雾",,2:00,2022/12/21
-16,745.8,759.7,85,3,"轻度（小）（弱） 雪, 轻雾",,1:00,2022/12/21
-16,746.6,760.5,85,3,"轻度（小）（弱） 雪, 轻雾",,0:00,2022/12/21
-16,747.3,761.2,85,2,,,23:00,2022/12/20
